Time,dengue-sg
1.54423E+12,115
1.54483E+12,108
1.54544E+12,128
1.54604E+12,160
1.54665E+12,207
1.54725E+12,245
1.54786E+12,215
1.54846E+12,222
1.54907E+12,182
1.54967E+12,138
1.55028E+12,235
1.55088E+12,182
1.55148E+12,157
1.55209E+12,134
1.55269E+12,109
1.5533E+12,97
1.5539E+12,100
1.55451E+12,108
1.55511E+12,125
1.55572E+12,135
1.55632E+12,157
1.55693E+12,194
1.55753E+12,287
1.55814E+12,309
1.55874E+12,378
1.55935E+12,401
1.55995E+12,400
1.56056E+12,467
1.56116E+12,433
1.56177E+12,497
1.56237E+12,593
1.56298E+12,664
1.56358E+12,647
1.56419E+12,605
1.56479E+12,600
1.5654E+12,523
1.566E+12,524
1.5666E+12,476
1.56721E+12,414
1.56781E+12,330
1.56842E+12,318
1.56902E+12,301
1.56963E+12,261
1.57023E+12,246
1.57084E+12,228
1.57144E+12,239
1.57205E+12,242
1.57265E+12,308
1.57326E+12,322
1.57386E+12,373
1.57447E+12,334
